Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-NOV-2023,10603.2,10700,10580.7,10651.85,1397230506,45306.73
17-NOV-2023,10612.65,10679.5,10607.4,10649.5,1990407996,47289.52
20-NOV-2023,10656.55,10666.8,10622.45,10631.8,1410108162,36166.28
21-NOV-2023,10673.35,10690.85,10659.7,10667.35,1196326538,37282.04
22-NOV-2023,10671.7,10689.4,10618.5,10678.65,1155961041,36185.6
23-NOV-2023,10693.7,10713.15,10671.5,10678.9,1049182642,32533.3
24-NOV-2023,10689.2,10701.1,10668.2,10676.5,1060492910,36230.54
28-NOV-2023,10707.75,10755.35,10689,10742.95,1468497161,52090.03
29-NOV-2023,10797,10850.95,10790.45,10846.45,1460433980,52143.27
30-NOV-2023,10857.6,10899,10808.95,10887.35,2869673107,114911.65
01-DEC-2023,10930.55,10983.9,10924,10969,1547301291,52172.34
04-DEC-2023,11156.3,11189.05,11095.7,11180.75,1928166634,69367.22
05-DEC-2023,11238.95,11280.3,11192.25,11275.95,1902128792,80866.29
06-DEC-2023,11331.15,11347.35,11283.95,11337.2,1760662064,78733.21
07-DEC-2023,11345.4,11359.45,11301.5,11348.45,1917290803,64779.31
